Tiga Aspek Paling Potensial Kerja Sama Jepang-Asean;https://ekonomi.bisnis.com/read/20240222/620/1743196/tiga-aspek-paling-potensial-kerja-sama-jepang-asean;Ekonomi Global;22 Februari 2024 21:39                                                    WIB;Tiga bidang yang bisa menjadi perhatian utama dalam kerjasama Jepang-Asean, yaitu digitalisasi, Usaha Mikro, Kecil, dan Menengah (UMKM), serta ekonomi hijau.
Pemkot Palembang Gelar Pelatihan Wirausaha UMKM;https://sumatra.bisnis.com/read/20240222/534/1743297/pemkot-palembang-gelar-pelatihan-wirausaha-umkm;Bisnis Sumatra;22 Februari 2024 16:32                                                    WIB;Pemkot Palembang menyelenggarakan pelatihan wirausaha kepada UMKM di daerah tersebut yang berlokasi di Rumah Dinas Wali Kota Palembang, Kamis (22/2/2024).
PNM Kendari Raih Penghargaan, Pemberdayaan UMKM di Sultra dan Kendari;https://market.bisnis.com/read/20240222/192/1742800/pnm-kendari-raih-penghargaan-pemberdayaan-umkm-di-sultra-dan-kendari;Korporasi;22 Februari 2024 15:55                                                    WIB;Permodalan Nasional Madani (PNM) Cabang Kendari dalam upaya meningkatkan kesejahteraan nasabah terus berkolaborasi dengan banyak pihak.
Geliat Bank Jumbo (BRI, BNI, BCA) Salurkan Kredit UMKM Usai Disinggung Jokowi;https://finansial.bisnis.com/read/20240221/90/1742724/geliat-bank-jumbo-bri-bni-bca-salurkan-kredit-umkm-usai-disinggung-jokowi;Perbankan;21 Februari 2024 09:15                                                    WIB;Presiden Jokowi meminta perbankan menggenjot penyaluran kredit UMKM. Ini rencana aksi dari bank jumbo  (BRI, BNI, BCA).
Balikpapan Siapkan Wadah Baru UMKM di Bandara SAMS Sepinggan;https://kalimantan.bisnis.com/read/20240220/407/1742445/balikpapan-siapkan-wadah-baru-umkm-di-bandara-sams-sepinggan;Nuansa Borneo;20 Februari 2024 14:17                                                    WIB;Ini untuk menyambut pemindahan Ibu Kota Negara (IKN) Nusantara, mengingat Bandara itu sebagai pintu gerbang menuju IKN.
Kemenkop UKM Ajak KPPU Dongkrak Kemitraan UMKM dengan Industri Besar;https://ekonomi.bisnis.com/read/20240220/12/1742378/kemenkop-ukm-ajak-kppu-dongkrak-kemitraan-umkm-dengan-industri-besar;Trade;20 Februari 2024 11:57                                                    WIB;Kemenkop UKM menggandeng KPPU untuk mendongkrak kemitraan UMKM dengan industri besar.
Cegah Predatory Pricing, Menteri Teten Minta Aturan E-Commerce Baru Direvisi;https://ekonomi.bisnis.com/read/20240219/12/1742185/cegah-predatory-pricing-menteri-teten-minta-aturan-e-commerce-baru-direvisi;Trade;19 Februari 2024 19:21                                                    WIB;Permendag No.31/2023 disebut belum mengatur soal praktik predatory pricing yang berisiko memukul daya saing produk UMKM di e-commerce.
Deretan Produk Lokal Jabar Unjuk Gigi di Outlet Uniqlo;https://lifestyle.bisnis.com/read/20240218/104/1741858/deretan-produk-lokal-jabar-unjuk-gigi-di-outlet-uniqlo;Mode & Fashion;18 Februari 2024 22:25                                                    WIB;Sejumlah produk UMKM Jawa Barat hadir di gerai-gerai Uniqlo melalui program Uniqlo Neighborhood Collaboration 2024.
ASDP Fasilitasi 200 UMKM Binaan untuk Naik Kelas;https://entrepreneur.bisnis.com/read/20240218/263/1742038/asdp-fasilitasi-200-umkm-binaan-untuk-naik-kelas;Peluang Bisnis;18 Februari 2024 20:15                                                    WIB;PT ASDP Indonesia Ferry memfasilitasi pengembangan 200 UMKM binaan di Indonesia untuk bisa naik kelas dan kompetitif.
Jokowi Apresiasi Kepatuhan Nasabah PNM Mekaar Mengansur Pinjaman;https://finansial.bisnis.com/read/20240218/215/1741825/jokowi-apresiasi-kepatuhan-nasabah-pnm-mekaar-mengansur-pinjaman;Asuransi;18 Februari 2024 15:36                                                    WIB;Jokowi apresiasi nasabah PNM Mekaar dalam mengansur pinjaman, UMKM Indonesia disiplin
